year_month,monthly_kwh,house_id,bill_pkr
2018-09,1259.1677716666666,House34,23290.65
2018-10,829.8633416666667,House34,13566.9
2018-11,572.4684533333333,House34,8132.26
2018-12,806.5488566666667,House34,13038.83
2019-01,1212.5497566666666,House34,22234.75
2019-02,1003.1787866666666,House34,17492.5
2019-03,628.4141666666667,House34,9226.0
2019-04,761.5868270153417,House34,12020.44
2019-05,1310.4977666666666,House34,24453.27
2018-06,808.1521683333333,House36,13075.15
2018-07,843.962335,House36,13886.25
2018-08,873.30126,House36,14550.77
2018-09,623.1374966666667,House36,9122.84
2018-10,497.959285,House36,6675.6
2018-11,218.882855,House36,1819.93
2018-12,208.334165,House36,1691.76
2019-01,212.10822,House36,1737.61
2019-02,181.61077666666665,House36,1405.5
2019-03,255.53403666666668,House36,2265.24
2019-04,487.02050833333334,House36,6461.75
2019-05,570.6218466666667,House36,8096.16
2018-06,1044.7880483333333,House37,18434.95
2018-07,945.518535,House37,16186.49
2018-08,962.7021066666666,House37,16575.7
2018-09,687.1711983333333,House37,10374.7
2018-10,362.8100083333333,House37,4033.44
2018-11,271.109425,House37,2454.48
2018-12,211.898195,House37,1735.06
2019-01,207.51753166666666,House37,1681.84
2019-02,186.24199333333334,House37,1452.09
2019-03,224.33949666666666,House37,1886.22
2019-04,424.03706,House37,5230.42
2019-05,677.99037,House37,10195.21
2018-06,1158.4923566666666,House38,21010.35
2018-07,1121.9848783333334,House38,20183.46
2018-08,1087.0129683333334,House38,19391.34
2018-09,861.2467716666666,House38,14277.74
2018-10,325.84647666666666,House38,3310.8
2018-11,224.46710166666668,House38,1887.78
2018-12,361.7282333333333,House38,4012.29
2019-01,379.30560333333335,House38,4355.92
2019-02,210.49480499999999,House38,1718.01
2018-06,684.8218316666666,House39,10328.77
2018-07,666.003925,House39,9960.88
2018-08,791.59447,House39,12700.11
2018-09,718.3684983333334,House39,11041.55
2018-10,541.62464,House39,7529.26
2018-11,346.4572,House39,3713.74
2018-12,288.58487,House39,2666.81
2019-01,226.21487166666665,House39,1909.01
2019-02,228.65186833333334,House39,1938.62
2019-03,293.44987833333334,House39,2725.92
2019-04,456.269945,House39,5860.58
2019-05,595.4571516666666,House39,8581.69
2018-06,1835.0142633333332,House4,36333.57
2018-07,1586.4642816666667,House4,30703.92
2018-08,2047.760815,House4,41152.28
2018-09,1590.4017233333334,House4,30793.1
2018-10,993.8019666666667,House4,17280.11
2018-11,676.656165,House4,10169.13
2018-12,901.9662066666667,House4,15200.03
2019-01,928.7685016666667,House4,15807.11
2019-02,809.3375366666667,House4,13102.0
2019-03,664.3993833333334,House4,9929.51
2019-04,905.4577866666667,House4,15279.12
2019-05,1473.10636,House4,28136.36
2018-06,2013.889665,House40,40385.1
2018-07,1746.6638716666666,House40,34332.44
2018-08,2073.5500816666668,House40,41736.41
2018-09,1901.6016783333334,House40,37841.78
2018-10,715.585805,House40,10978.52
2018-11,366.4546383333333,House40,4104.69
2018-12,365.81554666666665,House40,4092.19
2019-01,425.59810833333336,House40,5260.94
2019-02,343.0416133333333,House40,3646.96
2019-03,346.12284666666665,House40,3707.2
2019-04,763.55518,House40,12065.02
2019-05,1428.4186,House40,27124.18
2018-06,485.83083833333336,House41,6438.49
2018-07,643.713235,House41,9525.09
2018-08,702.3831266666666,House41,10679.48
2018-09,651.0905766666667,House41,9669.32
2018-10,373.1931783333333,House41,4236.43
2018-11,205.29036666666667,House41,1654.78
2018-12,195.38532166666667,House41,1544.08
2019-01,190.830065,House41,1498.25
2019-02,184.649185,House41,1436.07
2019-03,191.9261,House41,1509.28
2019-04,483.1861783333333,House41,6386.79
2019-05,662.1543633333333,House41,9885.62
2018-06,299.09345333333334,House42,2794.49
2018-07,373.4632833333333,House42,4241.71
2018-08,371.68904333333336,House42,4207.02
2018-09,380.088145,House42,4371.22
2018-10,327.97913,House42,3352.49
2018-11,178.80343666666667,House42,1377.26
2018-12,190.177755,House42,1491.69
2019-01,194.12691833333332,House42,1531.42
2019-02,218.05658666666668,House42,1809.89
2019-03,250.40837666666667,House42,2202.96
2019-04,355.54062666666664,House42,3891.32
2019-05,502.31631833333336,House42,6760.78
2018-06,875.7223783333334,House5,14605.61
2018-07,847.1936483333334,House5,13959.44
2018-08,978.4991266666667,House5,16933.51
2018-09,729.5996616666666,House5,11295.93
2018-10,344.83293833333335,House5,3681.98
2018-11,181.58894,House5,1405.28
2018-12,179.196175,House5,1381.21
2019-01,226.53836,House5,1912.94
2019-02,181.91591,House5,1408.57
2019-03,195.03578,House5,1540.56
2019-04,299.44554166666666,House5,2798.76
2019-05,622.0634533333333,House5,9101.84
2018-11,153.49406,House6,1122.65
2018-12,474.6124116666667,House6,6219.17
2019-01,628.2537366666667,House6,9222.86
2019-02,441.876365,House6,5579.18
2019-03,400.948385,House6,4779.04
2019-04,917.4873616666666,House6,15551.59
2019-05,604.7525333333333,House6,8763.41
2018-06,1533.392505,House7,29501.84
2018-07,1350.2298033333334,House7,25353.21
2018-08,1475.79446,House7,28197.24
2018-09,1048.518495,House7,18519.44
2018-10,473.4196733333333,House7,6195.85
2018-11,294.837685,House7,2742.78
2018-12,267.0902316666667,House7,2405.65
2019-01,282.96404666666666,House7,2598.51
2019-02,245.96589,House7,2148.99
2019-03,300.5313433333333,House7,2815.89
2019-04,493.08422666666667,House7,6580.3
2019-05,1060.002315,House7,18779.55
2018-06,401.07368833333334,House8,4781.49
2018-07,438.0503566666667,House8,5504.38
2018-08,433.02501166666667,House8,5406.14
2018-09,452.5044066666667,House8,5786.96
2018-10,358.5764966666667,House8,3950.67
2018-11,275.91976,House8,2512.93
2018-12,212.06408,House8,1737.08
2019-01,185.89813,House8,1448.64
2019-02,181.46482666666665,House8,1404.04
2019-03,193.06235333333333,House8,1520.71
2019-04,416.5636,House8,5084.32
2019-05,816.4103416666667,House8,13262.19
2018-06,707.3494316666666,House9,10791.96
2018-07,550.9476716666667,House9,7711.53
2018-08,576.761015,House9,8216.18
2018-09,528.5653916666666,House9,7273.95
2018-10,203.79665,House9,1636.63
2018-11,114.01099833333333,House9,725.45
2018-12,133.056885,House9,917.05
2019-01,127.94165,House9,865.59
2019-02,101.47383666666667,House9,599.33
2019-03,101.56020166666667,House9,600.2
2019-04,420.784805,House9,5166.84
2019-05,635.7398916666667,House9,9369.21
